date,track,venue,state
2024-01-08,Cairns,Cairns,QLD
2024-01-09,Rockhampton,Rockhampton,QLD
2024-01-10,Doomben,Doomben,QLD
2024-01-10,Port Lincoln,Port Lincoln,SA
2024-01-10,Sandown-Hillside,Sandown,VIC
2024-01-11,Kilcoy,Kilcoy,QLD
2024-01-11,Pakenham,Pakenham,VIC
2024-01-11,Penola,Penola,SA
2024-01-11,Wangaratta,Wangaratta,VIC
2024-01-12,Cranbourne,Cranbourne,VIC
2024-01-12,Hamilton,Hamilton,VIC
2024-01-13,Atherton,Atherton,QLD
2024-01-13,Flemington,Flemington,VIC
2024-01-13,Gold Coast,Gold Coast,QLD
2024-01-13,Ipswich,Ipswich,QLD
2024-01-13,Murray Bridge GH,Murray Bridge GH,SA
2024-01-13,Thangool,Thangool,QLD
2024-01-14,Balnarring,Balnarring,VIC
2024-01-14,Sale,Sale,VIC
2024-01-14,Strathalbyn,Strathalbyn,SA
2024-01-14,Sunshine Coast,Sunshine Coast,QLD
2024-01-14,Wodonga,Wodonga,VIC
2024-01-15,Warwick,Warwick,QLD
2024-01-16,Cranbourne,Cranbourne,VIC
2024-01-16,Rockhampton,Rockhampton,QLD
2024-01-17,Doomben,Doomben,QLD
